,City,Max Temp,Lon,Lat,cloudiness,Wind Speed ,Humidity,Country,Date
125,east london,13.0,27.91,-33.02,40,4.6,100,ZA,1567657116
126,la ronge,11.0,-105.3,55.1,40,2.1,93,CA,1567657670
127,lompoc,18.89,-120.46,34.64,90,2.1,93,US,1567657197
128,touros,23.0,-35.46,-5.2,40,1.5,94,BR,1567657155
129,opuwo,11.62,13.84,-18.06,0,0.55,69,NA,1567657146
130,hithadhoo,28.49,73.08,-0.6,100,6.35,78,MV,1567657135
131,souillac,14.0,-0.6,45.6,0,2.1,76,FR,1567657163
132,saskylakh,2.5,114.09,71.97,90,2.17,63,RU,1567657099
133,ilulissat,3.0,-51.1,69.22,100,1.63,93,GL,1567657114
134,baykit,9.37,96.39,61.68,100,2.1,78,RU,1567657672
135,san fernando,25.0,-61.46,10.28,20,4.38,94,TT,1567657672
136,castro,0.0,-73.76,-42.48,0,2.1,81,CL,1567657620
137,kulhudhuffushi,27.75,73.07,6.62,92,3.67,79,MV,1567657654
138,sao felix do xingu,24.9,-51.99,-6.64,12,0.97,59,BR,1567657672
139,katsuura,29.0,134.5,33.93,75,1.0,88,JP,1567657081
140,fort nelson,15.0,-122.69,58.81,20,3.6,51,CA,1567657673
141,butaritari,29.29,172.79,3.07,100,3.77,71,KI,1567656909
142,upernavik,5.75,-56.15,72.79,100,7.0,88,GL,1567657673
143,caravelas,21.13,-39.27,-17.73,2,2.67,90,BR,1567657673
144,kalininsk,10.06,44.48,51.5,0,2.26,70,RU,1567657674
145,ainazi,16.1,24.36,57.86,41,9.17,82,LV,1567657674
146,bud,10.0,6.91,62.91,75,3.6,81,NO,1567657674
147,port alfred,13.89,26.89,-33.59,100,1.79,90,ZA,1567657085
148,turukhansk,10.57,87.96,65.8,76,3.8,67,RU,1567657557
149,moerai,20.33,-151.33,-22.43,53,9.23,69,PF,1567657675
150,jamestown,17.92,138.6,-33.21,15,5.05,53,AU,1567657675
151,salalah,26.0,54.1,17.01,75,1.5,94,OM,1567657195
152,cortez,21.67,-108.58,37.35,1,4.1,72,US,1567657675
153,udachnyy,4.0,112.4,66.42,90,3.0,100,RU,1567657676
154,anori,25.72,-61.66,-3.74,72,0.44,69,BR,1567657676
155,clyde river,5.0,-68.59,70.47,90,2.1,80,CA,1567657127
156,sagauli,31.07,84.73,26.78,63,4.59,66,IN,1567657553
157,mareeba,28.0,145.42,-16.99,56,2.6,34,AU,1567657677
158,leningradskiy,4.01,178.42,69.38,94,3.86,91,RU,1567657088
159,kahului,28.0,-156.47,20.89,40,6.2,69,US,1567656960
160,victoria,33.0,115.24,5.28,75,1.0,74,BN,1567656904
161,port blair,27.0,92.75,11.67,75,6.2,88,IN,1567657661
162,kapit,34.38,112.94,2.02,25,0.42,46,MY,1567657677
163,huilong,24.72,106.5,31.15,88,1.66,74,CN,1567657678
164,pacific grove,22.22,-121.92,36.62,90,4.1,82,US,1567657678
165,hasaki,27.0,140.83,35.73,75,2.1,78,JP,1567657153
166,buraydah,31.0,43.97,26.33,40,5.1,23,SA,1567657148
167,puri,31.43,112.45,-7.54,72,5.11,34,ID,1567657190
168,carnarvon,9.46,22.13,-30.97,100,7.94,72,ZA,1567657114
169,moron,27.79,-74.26,18.56,0,1.87,78,HT,1567657679
